BAU,-22.345,-49.054,"Bauru"
BAV,40.560,109.997,"Baotou Donghe"
BAX,53.364,83.538,"Barnaul"
BAY,47.661,23.467,"Maramures"
BAZ,-0.981,-62.919,"Barcelos"
BBA,-45.916,-71.689,"Balmaceda"
BBB,45.332,-95.651,"Benson Muni"
BBC,28.973,-95.864,"Bay City Regional"
BBD,31.179,-99.324,"Curtis"
BBG,3.086,172.811,"Butaritari"
BBH,54.338,12.711,"Barth"
BBI,20.244,85.818,"Biju Patnaik"
BBJ,49.945,6.565,"Bitburg"
BBK,-17.833,25.162,"Kasane"
BBL,-27.406,141.809,"Ballera"
BBM,13.096,103.224,"Battambang"
BBN,3.735,115.479,"Bario"
BBO,10.385,44.937,"Berbera"
BBP,50.678,-1.109,"Bembridge"
BBQ,17.636,-61.829,"Codrington"
BBR,16.014,-61.743,"Basse-Terre Baillif"
BBS,51.324,-0.847,"Blackbushe"
BBT,4.222,15.786,"Berberati"
BBU,44.503,26.102,"Baneasa"
BBV,4.643,-6.924,"Nero-Mer"
BBW,41.437,-99.642,"Broken Bow Muni"
BBX,40.138,-75.265,"Wings"
BBY,5.847,20.650,"Bambari"
BBZ,-13.536,23.106,"Zambezi"
BCA,20.365,-74.506,"Gustavo Rizo"
BCB,37.208,-80.408,"Virginia Tech Montgomery Exec"
BCC,63.573,-156.149,"Bear Creek 3"
BCD,10.776,123.015,"Bacolod-Silay"
BCE,37.706,-112.145,"Bryce Canyon"
BCF,6.517,18.267,"Bouca"
BCG,7.640,-58.962,"Bemichi"
BCH,-8.486,126.400,"Cakung"
BCI,-23.566,145.302,"Barcaldine"
BCK,-17.388,144.169,"Bolwarra"
BCL,10.769,-83.586,"Barra del Colorado"
BCM,46.522,26.910,"Bacau"
BCN,41.297,2.078,"Josep Tarradellas Barcelona"
BCO,5.783,36.562,"Baco"
BCP,-5.864,146.493,"Bambu"
BCQ,27.653,14.272,"Brak"
BCR,-8.835,-67.312,"Novo Campo"
BCT,26.379,-80.108,"Boca Raton"
BCU,10.483,9.744,"Sir Abubakar Tafawa Balewa"
BCV,17.270,-88.776,"Hector Silva"
BCW,-21.853,35.438,"Benguera Island"
BCX,53.938,58.340,"Beloretsk"
BCZ,-13.781,136.202,"Milyakburra"
BDA,32.364,-64.679,"L.F. Wade International"
BDB,-24.905,152.323,"Bundaberg"
BDC,-5.502,-45.216,"Barra do Corda"
BDD,-10.150,142.174,"Badu Island"
BDE,48.728,-94.612,"Baudette"
BDF,41.231,-89.616,"Rinkenberger Restricted"
BDG,37.583,-109.483,"Blanding Muni"
BDH,26.532,54.825,"Bandar Lengeh"
BDI,-3.725,55.205,"Bird Island"
BDJ,-3.442,114.763,"Syamsudin Noor"
BDK,8.017,-2.762,"Soko"
BDL,41.939,-72.688,"Bradley"
BDM,40.318,27.978,"Bandirma"
BDN,24.841,68.838,"Talhar"
BDO,-6.901,107.576,"Husein Sastranegara"
BDP,26.571,88.080,"Bhadrapur"
BDQ,22.336,73.226,"Vadodara"
BDR,41.164,-73.126,"Igor I Sikorsky Memorial"
BDS,40.658,17.947,"Brindisi"
BDT,4.253,20.975,"Gbadolite"
BDU,69.056,18.540,"Bardufoss"
BDV,-7.085,29.737,"Moba"
BDW,-17.287,127.463,"Bedford Downs"
BDX,45.472,-105.454,"Broadus"
BDY,43.086,-124.408,"Bandon State"
BDZ,-6.347,146.942,"Baindoung"
BEB,57.481,-7.363,"Benbecula"
BEC,37.694,-97.215,"Beech Factory"
BED,42.470,-71.289,"Laurence G Hanscom"
BEE,-17.016,122.646,"Beagle Bay"
BEF,11.991,-83.774,"Bluefields"
BEG,44.818,20.309,"Belgrade Nikola Tesla"
BEH,42.129,-86.428,"Southwest Michigan Regional"
BEI,9.386,34.522,"Beica"
BEJ,2.156,117.432,"Kalimarau"
BEK,28.422,79.451,"Bareilly Station"
