ARC,345890a438572e21,"Arctic Village"
ARD,2616a83fcea4dc43,"Alor Island/Mali"
ARE,5bc84f02824c032b,"Antonio Nery Juarbe Pol"
ARF,58b1da8c33b3d17c,"Acaricuara"
ARG,5e7ad4a028532133,"Walnut Ridge Regional"
ARH,3bbb22ecd79d30df,"Talagi"
ARI,54b795dc88c03b32,"Chacalluta"
ARK,1e7b5d63feadf39c,"Arusha"
ARL,18a4492772e754c3,"Arly"
ARM,4c2a438f1eec7ea8,"Armidale"
ARN,3d97c74579d4675b,"Stockholm-Arlanda"
ARO,59ab9afeeda5a15c,"Arboletes"
ARP,4d6a192310e21c4c,"Aragip"
ARQ,59b59f5b70daf5b0,"El Troncal"
ARR,6a0a63b3c43e272c,"Casimiro Szlapelis"
ARS,54eeaba78ea96919,"Aragarcas"
ART,5f9df48af62866aa,"Watertown"
ARU,53efb1a78e2e3a49,"Aracatuba"
ARV,380019a77dca6e69,"Lakeland-Noble Lee Memorial"
ARW,3fa5d398c3cac944,"Arad"
ARX,117116a3d20ee52a,"Aracati Dragao do Mar"
ARY,4d162eb1efee138e,"Ararat"
ARZ,1a679f4a7d2ade70,"N'zeto"
ASA,1fa787aeec97139d,"Assab"
ASB,2ecebf027fae6198,"Ashgabat"
ASC,54cee9af3eadd0bb,"Ascencion De Guarayos"
ASD,5cab23c7eb6593f3,"Andros Town"
ASE,5f527031208c0967,"Aspen-Pitkin County/Sardy"
ASF,3dd3df4cf2819927,"Astrakhan N Boris Kustodiev"
ASG,49022aeb959f2e56,"Ashburton Aerodrome"
ASH,5faaa84103fe3005,"Nashua/Boire"
ASI,1563761d0fcbfb6e,"RAF Ascension Island"
ASJ,2d15ab2c277376c8,"Amami"
ASK,169f5391c4ef927c,"Yamoussoukro"
ASL,5e704d8a362017c8,"Harrison County"
ASM,1eadfb791cbc4ee9,"Asmara"
ASN,5e83aa61809533aa,"Talladega Muni"
ASO,1e95f34592ced12d,"Asosa"
ASP,2307d50772a39af0,"Alice Springs"
ASQ,5f32f9fa478f1777,"Austin"
ASR,1df202e939f925e6,"Kayseri Erkilet"
AST,33197d8c93db4268,"Astoria Regional"
ASU,53d3830aca3f62e6,"Silvio Pettirossi"
ASV,1e7d77b635c73a98,"Amboseli"
ASW,1dc99c12fe864c15,"Aswan"
ASX,370d3f1f5037598d,"John F Kennedy Memorial"
ASY,360b3880c8535894,"Ashley Muni"
ASZ,4d69d023c4242ff1,"Asirim"
ATA,56a26c5aea3e4a7a,"German Arias Graziani"
ATB,1eb06ab1b12ebe4e,"Atbara"
ATC,5cab80c53277aa7a,"Arthur's Town"
ATD,4b6a43442ad3f65c,"Uru Harbour"
ATE,5e751433a242bf9b,"Antlers Muni"
ATF,57ac33d2956dc14c,"Chachoan Regional"
ATG,2ea4d68a90ffd4ac,"Minhas"
ATH,1beae1d725701248,"Athens E Venizelos"
ATI,52d46d4ad4ad8ba1,"Artigas"
ATJ,24f24e1e32f7113a,"Antsirabe"
ATK,34678ca636292ac6,"Atqasuk Edward Burnell"
ATL,5e83ecae92d09ed5,"Hartsfield Jackson Atlanta"
ATM,57e5ecab3e1d2638,"Altamira Interstate"
ATN,4d734976ef49d0d9,"Namatanai"
ATO,5f913f0a32e5eb74,"Ohio University"
ATP,4e7e662a395dd993,"Aitape"
ATQ,2dae8a7f5666c060,"Sri Guru Ram Dass Jee"
ATR,15b9fb04a6c39ea4,"Atar"
ATS,5e519bece2cd0808,"Artesia Muni"
ATT,326b5a00767ba858,"Atmautluak"
ATV,1ba796342d2c1eba,"Ati"
ATW,5f8d3e55c49e9ce5,"Appleton"
ATX,3ae98654e8dcb83b,"Atbasar"
ATY,5f6ff6f0a6d14e86,"Watertown Regional"
ATZ,1dd312ef29f95879,"Asyut"
AUA,5ab6ce6ebc75ce85,"Queen Beatrix"
AUC,59b6b2415562dc52,"Santiago Perez"
AUD,4e4e6bd0c4fa6fd6,"Augustus Downs"
AUE,1dd67e0a87926819,"Abu Rudeis"
AUF,3f897b62fcd2e78b,"Auxerre-Branches"
AUG,3a0c6d0ff2f030ab,"Augusta State"
AUH,2cdaf77d27fbb45d,"Abu Dhabi"
AUI,4e7cbb6dab5ef768,"Aua Island"
AUJ,4e7d21c871db9cda,"Ambunti"
AUK,326f97e473997ebd,"Alakanuk"
AUL,499b9870a47c3c09,"Aur Island"
AUM,5f7c984b703db860,"Austin Muni"
AUN,5f317528295877b9,"Auburn Muni"
AUO,5e81c12a96645295,"Auburn University Regional"
AUP,4d6a0df2b3d7e4ae,"Agaun"
AUQ,406a1f77c42dc8da,"Hiva Oa-Atuona"
AUR,18f5f750302499a5,"Aurillac"
AUS,5d6ab918a2dab834,"Austin Bergstrom"
AUT,261673a7e9f7e365,"Atauro"
AUU,4e5d627642ab4794,"Aurukun"
AUV,4d6ee403b623791a,"Aumo"
AUW,5f8f06d76447f170,"Wausau Downtown"
AUX,56f9759fcef4e4d1,"Araguaina"
AUY,494e12be7ff0cc94,"Aneityum"
AUZ,5f88329396e69241,"Aurora Muni"
AVA,2c5f3a89a7c33356,"Anshun Huangguoshu"
AVB,3f9bb18302f32186,"Aviano"
AVG,240ff5e1dfe98a22,"Auvergne"
AVI,5ca307af7b3f350c,"Maximo Gomez"
AVK,36f4a27ae72434d8,"Arvaikheer"
AVL,5e98372cf5dcadbe,"Asheville Regional"
AVN,18fbd21e82ce4d1a,"Avignon-Caumont"
AVO,5d9376a6b076d0bf,"Avon Park Executive"
AVP,5fa7119cdc860cb4,"Wilkes Barre Scranton"
AVR,16f91d23b530beb0,"Alverca"
AVU,4b6b1c2ddec6255d,"Avu Avu"
AVV,4d1301e0b5db737a,"Avalon"
AVW,5e40889e60b5e040,"Marana Regional"
AVX,5e3373f11c69fd20,"Catalina"
AWA,1e9f6934a400b7bc,"Hawassa"
AWB,4e6c68f54621866d,"Awaba"
AWD,494e4dbf8677cb1a,"Aniwa"
AWE,197deb43a7228bf1,"Alowe"
AWK,4ab7b864bd3edd3a,"Wake Island"
AWM,5e77fb654ae41c8d,"West Memphis Muni"
AWN,4e29feb016ceb060,"Alton Downs"
AWP,4f4201f8ad7ae228,"Austral Downs"
AWZ,2ded6a1ea87d7c29,"Qasem Soleimani"
AXA,5bc8d3f69341c7a0,"Clayton J Lloyd"
AXB,5f9ef0a48a7bc836,"Maxson"
AXC,4d3f91caba2dc676,"Aramac"
AXD,1bfc51f85dc0f107,"Alexandroupoli Democritus"
AXE,52ee29ba6d9e4446,"Xanxere"
AXF,2f509df6600e1c37,"Alxa Left Banner Bayanhot"
AXG,5f7b6310efbc0c30,"Algona Muni"
AXJ,2e10db5f4cec3763,"Amakusa"
AXK,2afd73e1fb252c99,"Ataq"
AXL,4f455636df93620a,"Alexandria Homestead"
AXM,58adcf660077e6d2,"El Eden"
AXN,3704211b28fa57b3,"Chandler"
AXO,2616b335dfaf2f84,"Pantar Kabir"
AXP,5ca4eb35e34f889c,"Spring Point"
AXR,415f0dbb0f721e16,"Arutua"
AXS,5e6679c3cd9d26b4,"Altus Quartz Mountain Regional"
AXT,31d4987b77c6cc3e,"Akita"
AXU,1eadbff767eb125f,"Axum"
AXV,5f85d1b66bbc06cf,"Neil Armstrong"
AXX,5e5b9072f38b27d4,"Angel Fire"
AYA,59a9dfe59beedaa9,"Ayapel"
AYC,59ba2e74d3bff50d,"Ayacucho"
AYD,4f46498ad6e5b5c7,"Alroy Downs"
AYG,58b42d1844c985c8,"Yaguara"
AYI,57be7c2c244dbf5e,"Yari"
AYK,3aeda6cd7dd73b4b,"Arkalyk North"
AYL,4f488a5887d0fb98,"Anthony Lagoon"
AYN,2e4a3496863489f2,"Anyang"
AYO,52dd830216ffc07b,"Juan De Ayolas"
AYP,55a7f1f0f6dc3076,"Alfredo Mendivil Duarte"
AYQ,2313467338598222,"Ayers Rock Connellan"
AYR,4d4c32a3685c935c,"Ayr"
AYS,5d9d47813de042a3,"Waycross Ware County"
AYT,1ceac43d7fd8945e,"Antalya"
AYU,4e64cd2d621f7be7,"Aiyura"
AYW,270c55dc0241e9bf,"Ayawasi"
AYX,55be18b4acd13ba1,"Teniente G Perez Pinedo"
AZA,5e428f00f4ada2f8,"Phoenix-Mesa Gateway"
AZB,4d5afdd88cae3991,"Amazon Bay"
AZD,2ddf93e544465a5a,"Shahid Sadooghi"
AZG,5b5abd4b28253ffb,"Apatzingan/Pablo L. Sidar"
AZI,2cdaf7e1ab9d1108,"Al Bateen Executive"
AZJ,2e3031f72ec4ad60,"Zhenjiang Dalu"
AZL,55d6b10dd035eb18,"Fazenda Tucunare"
AZN,2fa59ad764f88f66,"Andizhan"
AZO,5f89a36ac4fed358,"Kalamazoo Battle Creek"
AZP,5b6c44781f6642e5,"Jorge Jimenez Cantu"
AZR,17df471a6c775645,"Touat Mohamed Belkebir"
AZS,5bbbb631953b1e38,"Samana El Catey"
AZT,59b535b844bbca79,"Zapatoca"
AZZ,1a687b6264cb8e2b,"Ambriz"
BAA,4d67f54db0132a07,"Bialla"
BAB,5f316c9a26ceeeb1,"Beale Air Force Base"
BAC,58be45deb278a599,"Barranca De Upia"
BAD,5e706c3da64e402d,"Barksdale Air Force Base"
BAE,18feef300022eb9c,"Barcelonnette/Saint-Pons"
BAF,5fa970fcd03f2218,"Westfield-Barnes Regional"
BAG,2b227b78e00042d6,"Loakan"
BAH,2cef7a1d5cfa82aa,"Bahrain"
BAI,599c4ac422b2bfbe,"Buenos Aires"
BAJ,4d7c08b91f90d782,"Bali"
BAL,3edbed2712bc3666,"Batman"
BAM,5f4515b71fcfb9c2,"Battle Mountain"
BAN,1b7e2f7774bc9ad5,"Basongo"
BAQ,5aa1efaac6b23160,"Ernesto Cortissoz"
BAR,2b4b403020f90a85,"Qionghai Bo'ao"
BAS,4c69a619c1ef3478,"Ballalae"
BAT,54f00b2bc264ca11,"Chafei Amsei"
BAU,53ebd9d34023762d,"Bauru"
BAV,2f5503df6f5f3989,"Baotou Donghe"
BAX,38ecb3c5ca14f796,"Barnaul"
BAY,3fb003beac9c2a73,"Maramures"
